Contig,Bin,Type
contig_12608,Unbinned MAG,unmapped
contig_12612,MAG_1364,chromosome
contig_12613,MAG_1364,chromosome
contig_12622,MAG_1633,chromosome
contig_12632,MAG_109,unmapped
contig_12633,MAG_1120,chromosome
contig_12635,MAG_316,chromosome
contig_12637,MAG_109,chromosome
contig_1264,MAG_85,chromosome
contig_12644,MAG_522,chromosome
contig_12653,MAG_200,chromosome
contig_12656,MAG_1855,chromosome
contig_12660,MAG_218,chromosome
contig_12678,MAG_118,chromosome
contig_12683,MAG_1604,chromosome
contig_12687,MAG_1345,chromosome
contig_1269,MAG_375,unmapped
contig_12692,MAG_35,unmapped
contig_12703,MAG_1391,chromosome
contig_12715,MAG_244,chromosome
contig_12716,MAG_244,chromosome
contig_12717,MAG_538,chromosome
contig_12718,MAG_1231,unmapped
contig_1273,MAG_623,unmapped
contig_12735,MAG_1043,unmapped
contig_12764,MAG_808,unmapped
contig_12767,MAG_51,chromosome
contig_12768,MAG_779,chromosome
contig_12770,MAG_570,unmapped
contig_12773,MAG_506,unmapped
contig_12776,MAG_2,chromosome
contig_12783,MAG_1003,unmapped
contig_12790,MAG_162,chromosome
contig_12792,contig_12792,phage
contig_12798,MAG_1305,unmapped
contig_12799,MAG_896,unmapped
contig_12801,MAG_58,chromosome
contig_12803,MAG_1356,chromosome
contig_12804,MAG_390,unmapped
contig_12805,MAG_1485,chromosome
contig_12826,contig_12826,phage
contig_12841,MAG_295,chromosome
contig_12844,MAG_1525,unmapped
contig_12845,contig_12845,phage
contig_12848,MAG_100,chromosome
contig_12849,MAG_100,chromosome
contig_12851,MAG_1754,chromosome
contig_12854,MAG_1875,chromosome
contig_12861,MAG_1261,unmapped
contig_12862,MAG_1261,unmapped
contig_12864,MAG_1344,unmapped
contig_12865,MAG_622,chromosome
contig_12866,MAG_329,chromosome
contig_12869,MAG_108,chromosome
contig_12873,MAG_108,chromosome
contig_12874,MAG_89,chromosome
contig_12877,MAG_312,chromosome
contig_12878,MAG_1288,chromosome
contig_12882,MAG_741,unmapped
contig_12886,MAG_1052,chromosome
contig_12887,MAG_447,chromosome
contig_12888,MAG_1531,chromosome
contig_1289,MAG_883,unmapped
contig_12894,MAG_385,chromosome
contig_12895,MAG_402,unmapped
contig_12898,MAG_1389,chromosome
contig_12899,MAG_1391,chromosome
contig_12900,MAG_1548,chromosome
contig_12903,Unbinned MAG,unmapped
contig_12908,MAG_170,chromosome
contig_12910,MAG_53,chromosome
contig_12912,MAG_58,chromosome
contig_12918,MAG_240,chromosome
contig_12922,MAG_1629,chromosome
contig_12925,MAG_15,chromosome
contig_12926,MAG_15,chromosome
contig_12927,MAG_294,chromosome
contig_12929,MAG_15,chromosome
contig_12934,MAG_294,chromosome
contig_12936,MAG_294,chromosome
