Contig,Restriction sites,Length,Coverage,Self Contact
contig_12079,170,25166,61,
contig_12082,51,8706,178,
contig_12084,3200,524666,5648,
contig_12087,110,14945,59,
contig_12088,3939,636612,9504,
contig_12089,618,113172,274,
contig_12090,309,52705,162,
contig_12092,716,108434,245,
contig_12101,42,13659,4061,
contig_12105,5939,608871,214,
contig_12106,590,75077,135,
contig_12108,316,36039,42,
contig_12119,1527,146867,142,
contig_1212,820,53456,104,
contig_12122,45351,2323029,1433,
contig_12132,1710,87779,84,
contig_12135,1089,61235,173,
contig_12147,2171,212989,3549,
contig_12152,606,68801,71,
contig_12153,19167,2408729,11767,
contig_12154,6497,603487,1691,
contig_12158,531,59071,14,
contig_12159,3429,420031,816,
contig_1216,291,19688,8,
contig_12160,1214,217003,726,
contig_12161,1664,207811,206,
contig_12164,253,32269,7,
contig_12165,549,69800,82,
contig_12171,4313,876899,342,
contig_12172,2330,426291,770,
contig_12178,526,93225,76,
contig_1218,566,71813,17,
contig_12181,1848,230432,1431,
contig_12182,12622,1566423,33840,
contig_12184,671,62484,213,
contig_1220,16175,2262923,18870,
contig_12200,1177,140002,18,
contig_12206,1099,164644,136,
contig_12208,743,84837,373,
contig_1221,222,37525,82,
contig_12216,557,50181,37,
contig_1222,367,57575,146,
contig_12232,1186,128662,130,
contig_12246,825,106704,143,
contig_12248,1648,218256,380,
contig_12256,8574,1023285,264,
contig_12258,776,133434,322,
contig_12266,2780,371738,367,
contig_12273,537,81308,114,
contig_12274,907,83728,113,
contig_12277,22075,2161478,8215,
contig_12278,294,23314,125,
contig_12284,494,49686,27,
contig_12292,256,56333,10342,
contig_1230,1084,189716,113,
contig_12308,47,12227,61,
contig_1233,181,19940,44,
contig_12336,1994,105845,54,
contig_12337,4098,230685,201,
contig_1234,6342,1151809,3089,
contig_12347,3367,449016,4170,
contig_12363,2707,380033,4550,
contig_12369,876,88162,154,
contig_12370,1005,118480,222,
contig_12372,447,81945,119,
contig_12393,102,19667,3,
contig_12397,430,74339,19,
contig_12401,1210,105237,785,
contig_12402,1143,99816,789,
contig_12404,2609,148274,1174,
contig_12411,286,89357,149,
contig_12413,3085,500032,1456,
contig_12414,163,21782,21,
contig_12417,109,20979,56,
contig_12419,5024,474825,10796,
contig_12421,101,9683,27,
contig_12442,1151,151125,70,
contig_12469,3393,189906,85,
contig_12470,4067,220463,40,
contig_12471,125,9833,354,
contig_12478,833,120613,537,
contig_12479,888,98784,231,
contig_12481,1867,275022,764,
contig_12486,5060,360090,10860,
contig_12488,26817,2360072,2494,
contig_12494,223,19797,10,
contig_12496,728,67778,5,
contig_12497,2921,345615,2092,
contig_12511,7506,1201391,1215,
contig_12514,2156,221837,491,
contig_12518,496,72147,194,
contig_12543,9459,918912,1524,
contig_12548,1954,213837,2113,
contig_12557,975,96220,30,
contig_12558,6608,843930,15018,
contig_12560,1043,131009,10418,
contig_12562,68,20455,26,
contig_12565,3071,430930,420,
contig_12571,852,110367,74,
contig_12572,88,12121,9,
contig_12574,3046,412539,1153,
contig_12577,2236,293198,494,
contig_12578,3117,458610,635,
contig_12579,251,37059,330,
contig_12591,7178,929308,4764,
contig_12593,1710,220804,1023,
contig_12597,11288,1592492,10411,
contig_126,7703,697332,279,
contig_12606,4928,650968,1088,
contig_12608,432,69200,44,
contig_12612,935,135357,434,
contig_12613,939,135412,867,
contig_12622,1266,108738,505,
contig_12632,1926,206448,482,
contig_12633,20686,2524999,14536,
contig_12635,1175,123294,243,
contig_12637,381,44941,49,
contig_1264,705,51471,175,
contig_12644,2055,240605,162,
contig_12653,1641,217565,644,
contig_12656,2516,289200,376,
contig_12660,462,95863,184,
contig_12678,422,37548,264,
contig_12683,3889,518679,477,
contig_12687,787,154940,100,
contig_1269,803,90491,1806,
contig_12692,148,36119,76,
contig_12703,1359,221963,483,
contig_12715,3734,425199,441,
contig_12716,2567,297120,229,
contig_12717,1060,153806,267,
contig_12718,1609,179600,232,
contig_1273,5,1267,756,
contig_12735,404,48267,121,
contig_12764,262,49723,105,
contig_12767,320,43080,76,
contig_12768,12700,743210,1624,
contig_12770,1150,145142,292,
contig_12773,487,70255,70,
contig_12776,756,87762,2275,
contig_12783,18454,1019954,1160,
contig_12790,1183,123689,105,
contig_12792,456,32126,2,
contig_12798,1455,79308,4,
contig_12799,459,24356,4,
contig_12801,1374,280146,590,
contig_12803,117,13698,11,
contig_12804,588,39254,575,
contig_12805,1547,184533,2245,
contig_12826,262,22509,7,
contig_12841,6561,598461,1940,
contig_12844,239,20189,86,
contig_12845,191,21972,163,
contig_12848,1746,194688,51,
contig_12849,662,69421,44,
contig_12851,975,96410,160,
contig_12854,2162,231176,316,
contig_12861,5473,671430,916,
contig_12862,7241,757379,776,
contig_12864,20679,2315184,3552,
contig_12865,644,69905,128,
contig_12866,1269,175001,1082,
contig_12869,290,31993,16,
contig_12873,172,16824,45,
contig_12874,301,47917,55,
contig_12877,3013,330373,265,
contig_12878,1247,137265,148,
contig_12882,831,123587,24,
contig_12886,3328,383920,56,
contig_12887,9494,1043919,1633,
contig_12888,1534,146257,110,
contig_1289,1878,336826,640,
contig_12894,4827,562334,894,
contig_12895,302,40892,169,
contig_12898,848,120628,145,
contig_12899,1694,229442,734,
contig_12900,1761,240636,206,
contig_12903,989,51735,90,
contig_12908,1846,128453,1044,
contig_12910,689,60061,185,
contig_12912,298,90815,126,
contig_12918,1149,126848,114,
contig_12922,2421,280148,438,
contig_12925,818,99297,134,
contig_12926,957,103275,1130,
contig_12927,4015,485115,271,
contig_12929,3843,499493,16660,
contig_12934,19,1940,1,
contig_12936,453,54304,964,
contig_12937,1932,243515,982,
contig_12939,846,108404,111,
contig_12942,1025,130961,362,
contig_12945,520,65610,585,
contig_12948,1387,156294,160,
contig_1295,11,2039,12,
contig_12950,942,76908,1100,
contig_12962,2564,280612,446,
contig_12968,582,89965,179,
contig_12981,722,114847,165,
contig_12986,535,70817,34,
contig_13000,1951,181759,141,
