Bin index,Contig index
MAG_142,contig_29208
MAG_142,contig_34685
MAG_142,contig_39741
MAG_142,contig_41422
MAG_142,contig_41726
MAG_142,contig_42491
MAG_142,contig_452
MAG_142,contig_50526
MAG_142,contig_50810
MAG_142,contig_52156
MAG_142,contig_52253
MAG_142,contig_52677
MAG_142,contig_60175
MAG_1421,contig_22112
MAG_1421,contig_38409
MAG_1421,contig_60855
MAG_1421,contig_9802
MAG_1424,contig_18367
MAG_1424,contig_18893
MAG_1424,contig_27709
MAG_1424,contig_43784
MAG_1427,contig_12153
MAG_1427,contig_15699
MAG_1427,contig_19984
MAG_1427,contig_34949
MAG_1427,contig_36585
MAG_1427,contig_36857
MAG_1436,contig_2592
MAG_1436,contig_33414
MAG_1436,contig_54701
MAG_144,contig_11524
MAG_144,contig_19401
MAG_144,contig_21687
MAG_144,contig_22655
MAG_144,contig_23555
MAG_144,contig_28449
MAG_144,contig_29051
MAG_144,contig_33382
MAG_144,contig_33609
MAG_144,contig_33727
MAG_144,contig_51726
MAG_144,contig_53291
MAG_144,contig_54553
MAG_144,contig_5519
MAG_144,contig_57937
MAG_144,contig_58153
MAG_144,contig_60971
MAG_1442,contig_1542
MAG_1442,contig_18311
MAG_1442,contig_23391
MAG_1442,contig_27764
MAG_1442,contig_31777
MAG_1442,contig_34590
MAG_1442,contig_3535
MAG_1442,contig_58829
MAG_1442,contig_6216
MAG_1442,contig_7174
MAG_1442,contig_7175
MAG_145,contig_22549
MAG_145,contig_23130
MAG_145,contig_24878
MAG_145,contig_26060
MAG_145,contig_28236
MAG_145,contig_29047
MAG_145,contig_30862
MAG_145,contig_37840
MAG_145,contig_39540
MAG_145,contig_39840
MAG_145,contig_45366
MAG_145,contig_49023
MAG_145,contig_4941
MAG_145,contig_50076
MAG_145,contig_50268
MAG_145,contig_53612
MAG_145,contig_53750
MAG_1450,contig_15242
MAG_1450,contig_18938
MAG_1450,contig_5854
MAG_1450,contig_5856
MAG_1451,contig_5853
MAG_1451,contig_5855
MAG_1457,contig_10933
MAG_1457,contig_54971
MAG_1457,contig_59294
MAG_1458,contig_641
MAG_1458,contig_705
